,brand,brand_model,make,model,price,year,model_month,model_year,km_used,fuel_type,mileage,transmission,color,no_of_owners,overall_condition,engine_condition,suspension_condition,brakes_condition,electrical_condition,ac_condition,exterior_condition,interior_condition,tyre_condition
2566,Hyundai,Creta,Hyundai Creta,SX Plus 1.6 AT CRDI,12.51,2017-04-01,4,2017,49194.0,Diesel,17.01,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.5
2326,LandRover,Range Rover Sport,LandRover Range Rover Sport,SDV6 HSE,92.5,2019-03-01,3,2019,58800.0,Diesel,17.76,Automatic,White,Second,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
860,MarutiSuzuki,Esteem,MarutiSuzuki Esteem,VXi,89000.0,2004-06-01,6,2004,80000.0,Petrol,17.76,Manual,Silver,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
438,Hyundai,Eon,Hyundai Eon,Era +,3.07,2015-05-01,5,2015,76714.0,Petrol,21.1,Manual,Maroon,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
2951,Mercedes-Benz,C-Class,Mercedes-Benz C-Class,C200 Progressive,55.0,2021-06-01,6,2021,9000.0,Petrol,15.85,Automatic,Black,First,4.6,4.5,5.0,5.0,3.9,4.5,5.0,4.7,2.9
3823,Honda,City,Honda City,V CVT Petrol [2017-2019],11.5,2019-06-01,6,2019,50000.0,Petrol,18.0,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
4188,Lamborghini,Gallardo,Lamborghini Gallardo,LP 560-4,110.0,2011-06-01,6,2011,10000.0,Petrol,17.76,Automatic,Yellow,First,4.5,4.5,3.2,5.0,3.6,4.3,5.0,4.7,3.0
1164,Honda,City,Honda City,V CVT Petrol [2017-2019],11.5,2019-06-01,6,2019,50000.0,Petrol,18.0,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
198,Jeep,Compass,Jeep Compass,Limited 2.0 Diesel [2017-2020],11.99,2017-06-01,6,2017,58179.0,Diesel,16.9,Manual,Silver,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
2692,MarutiSuzuki,Baleno,MarutiSuzuki Baleno,Zeta 1.2,6.85,2019-06-01,6,2019,19500.0,Petrol,21.4,Manual,Blue,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.0
